Election_ID,State,Constituency_Code,Constituency_Name,Round,Last_Updated_Time,Candidate_Name,Party,Gender,Age,Education,Criminal_Cases,Assets_Cr,Liabilities_Cr,Campaign_Spending_Cr,Social_Media_Followers,Speech_Sentiment,Popularity_Score,Historical_Win_Rate,Registered_Voters,EVM_Votes,Postal_Votes,Total_Votes,Vote_Percentage,Vote_Surge_Score,Constituency_Volatility,Independent_Candidate_Count,Voter_Turnout,Urban_Voter_Ratio,Rural_Voter_Ratio,Postal_Vote_Ratio,Fraud_Risk_Score,Anomaly_Score,Strategic_Manipulation_Score,Bot_Activity_Flag,Fake_News_Score,Cyber_Attack_Risk,Booth_Capture_Risk,Deepfake_Propagation_Score,Suspicious_Timing_Index,Vote_Injection_Risk,Attack_Type,Defense_Strategy,Adversarial_Pressure,Strategic_Polarization_Index,Influence_Network_Strength,Vote_Change_Per_Round,Late_Round_Surge,Time_Between_Updates_min,Sequential_Risk_Score,EVM_Device_ID,Server_Delay_ms,Network_Failure_Count,Power_Outage_Risk,Noise_Float_1,Noise_Float_2,Noise_Category,Correlated_Noise_Score,Fraud_Proxy_Duplicate,Election_Result,Fraud_Label,Risk_Category
bb3a35dd-2927-4222-af26-4eb936c130ff,Uttar Pradesh,C0096,Orai,6,2024-05-25T11:53:40.652289+05:53,Fiyaz Bhargava,SP,Male,71,12th Pass,0,3.43,1.03,0.46,10081,0.8309,0.7592,0.5614,81788,59584,6376,65960,80.65,0.1482,0.0849,2,0.8065,0.8247,0.1753,0.0967,0.2907,0.2448,0.2536,False,0.2824,0.4185,0.5179,0.1025,0.5499,0.2032,Cyber Intrusion,Network Firewall,1.0,0.6319,0.1729,0.0448,0.1124,7.0,0.2286,EVM-MC093CPL,385.2,6,0.1831,9.526,26.973,E,0.2885,0.1831,Won,0,Medium
f2c76e82-c974-492b-a132-193da4d2451b,Uttar Pradesh,C0278,Bihar Sharif,7,2024-06-01T12:05:35.520821+05:53,Ansh Doshi,SAD,Male,63,Post-Graduate,0,9.42,2.61,1.43,1079,,0.5858,0.2319,108449,69762,7520,77282,71.26,0.0619,0.1478,9,0.7126,0.1862,0.8138,0.0973,0.4324,0.4899,0.5053,True,0.6444,0.864,0.4102,0.763,0.6473,0.188,Cyber Intrusion,AI Monitoring,1.0,0.7012,0.104,0.0337,0.1084,48.1,0.4645,EVM-LG971QBU,684.9,4,0.3871,8.141,37.49,A,0.7651,0.4532,Lost,1,High
b2b7529b-4b88-46cb-80c2-ebbe269e3a96,Madhya Pradesh,C0043,Jamshedpur,3,2024-05-08T16:54:13.342905+05:53,Saanvi Sankar,AAP,Male,46,Graduate,2,2.17,0.84,0.59,8308,0.5893,0.6691,0.2436,232245,123018,7434,130452,56.17,0.1381,0.252,0,0.5617,0.5409,0.4591,0.057,0.2543,0.1945,0.2607,False,0.2846,0.4878,0.4492,0.1495,0.1989,0.1524,Cyber Intrusion,Biometric Auth,0.8642,0.6079,0.4466,0.0628,0.0,37.5,0.1344,EVM-HX935JIC,379.7,2,0.0862,29.827,25.091,B,0.4912,0.3197,Won,0,Medium
77159a27-4035-4154-b28d-01d1f22d5b99,Telangana,C0267,Chennai,6,2024-05-25T22:15:48.272826+05:53,Mason Vaidya,RJD,Male,51,Post-Graduate,0,6.76,4.49,2.22,62149,0.5502,0.7033,0.3749,138648,91076,9215,100291,72.34,0.0696,0.2369,2,0.7234,0.4667,0.5333,0.0919,0.1879,0.226,0.197,False,0.1899,0.2777,0.2759,0.105,0.4998,0.1358,Cyber Intrusion,AI Monitoring,1.0,0.6737,0.1459,-0.0226,0.0845,32.3,0.2517,EVM-AO997VWG,211.3,4,0.4735,74.36,60.275,E,0.4532,0.2301,Lost,1,Medium
0cf1c31d-9b30-4a10-9238-e58ca583eb24,Rajasthan,C0301,Kottayam,4,2024-05-14T23:04:38.027314+05:53,Aahana Kalita,CPM,Male,49,Post-Graduate,0,0.7,0.19,0.06,1393,0.3342,0.5287,0.5117,213000,172561,3368,175929,82.6,0.1736,0.2211,6,0.826,0.5332,0.4668,0.0191,0.2268,0.1564,0.2215,False,0.1699,0.2172,0.4386,0.07,0.1117,0.2044,Cyber Intrusion,Rapid Response Team,0.9692,0.5616,0.2193,-0.0554,0.0,17.2,0.1015,EVM-XC971JXQ,135.7,1,0.1187,58.845,48.625,C,0.0,0.0657,Won,0,Medium
2a37e2bd-fd41-4044-8121-a4ae7be0801c,Uttar Pradesh,C0316,Vellore,1,2024-04-19T04:01:52.231053+05:53,Ria Bhattacharyya,NCP,Female,49,Post-Graduate,0,7.94,,1.92,194157,0.7084,0.6899,0.3191,59040,40065,2613,42678,72.29,0.0523,0.1614,8,0.7229,0.6248,0.3752,0.0612,0.4597,0.351,0.3931,True,0.5895,0.4272,0.4389,0.6091,0.1694,0.1797,Cyber Intrusion,Multi-layer Encryption,0.8752,0.644,0.2541,-0.0425,0.0,22.6,0.1539,EVM-VQ791YQZ,481.0,1,0.117,81.863,62.811,B,0.7175,0.4038,Lost,0,Medium
b739b1e3-51aa-4b20-ba5e-88df42589377,Tamil Nadu,C0189,Sambhal,1,2024-04-20T02:01:41.795772+05:53,Sanaya Vig,SP,Male,54,Graduate,6,0.97,0.15,0.19,10702,0.7618,0.5785,0.6668,194678,134640,17494,152134,78.15,0.1088,0.1427,4,0.7815,0.3661,0.6339,0.115,0.1461,0.1238,0.1357,False,0.1088,0.2348,0.2966,0.0954,0.1303,0.1468,Cyber Intrusion,AI Monitoring,0.6972,0.4402,0.1177,0.001,0.0,24.1,0.0618,EVM-SL075BZG,175.2,0,0.1239,62.626,41.465,D,0.2867,0.1518,Lost,0,Low
b7b81425-a06b-4216-9ab3-2615764d6a80,Karnataka,C0334,Kakinada,6,2024-05-26T07:23:55.270886+05:53,Chanakya Modi,AAP,Female,51,12th Pass,0,2.02,0.7,0.67,41427,0.2541,0.5277,0.4443,132325,94964,7457,102421,77.4,0.1036,0.2582,3,0.774,0.4534,0.5466,0.0728,0.209,0.2287,0.129,False,0.0786,0.1812,0.3804,0.1118,0.4951,0.117,Cyber Intrusion,Network Firewall,0.9881,0.6617,0.1895,0.035,0.1026,99.6,0.2568,EVM-LP644YOT,303.6,2,0.0793,52.545,50.365,A,0.4085,0.2823,Won,0,Medium
3b456883-5f95-4570-a88a-dc128ada7741,Rajasthan,C0063,Mira-Bhayandar,1,2024-04-20T14:19:46.971521+05:53,Sara Palan,INC,Male,34,Post-Graduate,4,1.8,0.79,0.41,179219,0.5304,0.5936,0.3263,143694,96803,19640,116443,81.04,0.1383,0.2981,1,0.8104,0.2133,0.7867,0.1687,0.3659,0.3641,0.3448,True,0.4965,0.2131,0.3466,0.6318,0.1426,0.2445,Cyber Intrusion,Multi-layer Encryption,0.7564,0.5651,0.4699,-0.0288,0.0,111.4,0.2008,EVM-ZO757PLX,249.4,1,0.155,76.317,45.314,E,0.4061,0.251,Won,0,Medium
d04340ec-f4da-452b-8953-98015c5bd44e,Andhra Pradesh,C0048,Kalyan-Dombivli,6,2024-05-25T15:54:57.478472+05:53,Anirudh Arora,NCP,Male,62,Post-Graduate,5,13.39,3.8,2.95,6787,0.5796,0.5651,0.2017,369617,274042,3053,277095,74.97,0.0871,0.147,3,0.7497,0.3771,0.6229,0.011,0.2951,0.3875,0.3744,True,0.5154,0.5395,0.2479,0.5935,0.5729,0.131,Cyber Intrusion,AI Monitoring,1.0,0.6412,0.3779,0.0129,0.0719,67.2,0.4062,EVM-BY081TOK,242.2,2,0.1115,69.263,59.058,A,0.0853,0.2394,Won,1,Medium
491ff123-a8f4-4a34-a043-70c26691fff8,Maharashtra,C0386,Bharatpur,5,2024-05-21T10:50:54.696814+05:53,Aashi Nanda,NCP,Male,65,Post-Graduate,1,3.73,1.24,0.25,83599,0.5878,0.624,0.328,281065,150261,28903,179164,63.74,0.0609,0.4894,5,0.6374,0.3995,0.6005,0.1613,0.3503,0.438,0.3536,True,0.5004,0.2051,0.4008,0.5675,0.4374,0.1728,Cyber Intrusion,Real-time Audit,1.0,0.6566,0.4781,0.0198,0.0372,42.6,0.4372,EVM-GI595TOA,78.2,2,0.0606,45.859,67.478,A,0.4588,0.3517,Lost,0,Medium
29167a7e-6c6b-4b03-ad61-ba46c9905d05,Uttar Pradesh,C0039,Udupi,1,2024-04-20T21:48:53.186905+05:53,Rachit Pau,SAD,Male,54,Post-Graduate,3,14.58,,2.38,21667,0.4036,0.6017,0.3563,174543,113294,3063,116357,66.66,0.011,0.212,1,0.6666,0.2766,0.7234,0.0263,0.3965,0.3642,0.4288,True,0.6018,0.5518,0.4671,0.6934,0.1721,0.1633,Cyber Intrusion,Network Firewall,0.813,0.6251,0.2909,-0.0249,0.0,15.6,0.1658,EVM-NW069GDQ,,3,0.2519,24.806,45.408,C,0.7604,0.3585,Won,1,Medium
cb7f82f9-0012-4774-afde-d3d0234f149f,West Bengal,C0052,Kulti,6,2024-05-26T07:53:27.089261+05:53,Darpan Pillai,SP,Male,46,Graduate,0,,2.36,1.47,17783,0.7078,0.8017,0.6141,124521,59362,5510,64872,52.1,0.226,0.3621,5,0.521,0.5539,0.4461,0.0849,0.3636,0.4344,0.3635,True,,0.3736,0.4928,0.601,0.5576,0.2078,Cyber Intrusion,Voter Education Drive,0.9889,0.6562,0.3508,-0.0212,0.0383,85.7,0.4258,EVM-NG547ZPQ,368.7,1,0.1855,71.555,49.753,E,0.2461,0.3108,Lost,1,Medium
5a302927-60e7-4273-a2be-c36d4e86c749,Jharkhand,C0404,Eluru,3,2024-05-07T23:36:50.823898+05:53,Maanas Jain,YSRCP,Male,59,Graduate,0,0.72,0.35,0.27,6414,0.4792,0.6694,0.456,110805,64348,136,64484,58.2,0.109,0.2494,9,0.582,0.2354,0.7646,0.0021,0.42,0.4078,0.4565,True,0.6387,0.6624,0.4273,0.7435,0.236,0.1642,Cyber Intrusion,Multi-layer Encryption,1.0,0.7019,0.3006,-0.0456,0.0,27.6,0.291,EVM-OX072XWF,279.3,0,0.2375,97.542,61.959,B,0.3794,0.4037,Won,1,Medium
1ca3bf5f-5eea-409c-99d3-c4011407cd73,Bihar,C0415,Alwar,2,2024-04-27T16:51:36.855256+05:53,Siddharth Sura,BSP,Male,38,Doctorate,2,,0.19,0.34,6790,0.7163,0.5084,0.6156,62815,41208,5693,46901,74.67,0.0789,0.1698,6,0.7467,0.5943,0.4057,0.1214,0.3282,0.2125,0.3402,False,0.2445,0.5213,0.4067,0.1812,0.2002,0.2399,Cyber Intrusion,AI Monitoring,0.8875,0.5963,0.4007,0.016,0.0,100.6,0.1559,EVM-HP261NFO,263.7,6,0.1918,37.503,40.557,B,0.0109,0.3294,Won,0,Medium
51918263-c609-4737-b356-ad83c8d8ca5e,Telangana,C0335,Begusarai,6,2024-05-26T06:21:30.680719+05:53,Ekavir Raj,CPM,Male,58,Post-Graduate,1,5.99,0.16,1.45,15498,,0.5097,0.3506,164185,82518,15206,97724,59.52,0.0836,0.0377,6,0.5952,0.5502,0.4498,0.1556,0.2826,0.2185,0.2625,False,0.2491,0.3696,0.2686,0.1025,0.4869,0.1826,Cyber Intrusion,AI Monitoring,1.0,0.6838,0.7271,0.0523,0.0498,5.4,0.2143,EVM-OJ443IGV,175.0,1,0.1426,66.774,31.484,A,0.0808,0.2414,Won,1,Medium
011035ae-a0ec-4c18-a34a-96f8e8a5adbb,Karnataka,C0267,Adoni,5,2024-05-20T20:09:50.391455+05:53,Ojasvi Goda,NCP,Male,42,12th Pass,5,3.66,0.22,0.24,86562,0.3282,0.5492,0.1453,167124,101611,20179,121790,72.87,0.0774,0.2892,4,0.7287,0.2079,0.7921,0.1657,0.4286,0.4431,0.4349,True,0.5003,0.4472,0.3754,0.6229,0.5109,0.2038,Cyber Intrusion,Network Firewall,1.0,0.6653,0.3934,0.0155,0.185,65.2,0.4424,EVM-VQ144JLD,374.8,1,0.1133,40.057,44.75,B,0.0,0.4855,Lost,1,Medium
d78459f0-29ad-4e34-b206-c5db5f8f31b3,Assam,C0116,Kadapa,6,2024-05-25T10:29:11.542009+05:53,Vinaya Narayan,BSP,Male,48,12th Pass,2,,0.4,0.07,21962,0.5129,0.5587,0.666,101072,51071,1664,52735,52.18,0.1577,0.4982,2,0.5218,0.2911,0.7089,0.0316,0.4733,0.5165,0.4891,True,0.6865,0.6201,0.4303,0.691,0.6179,0.1895,Cyber Intrusion,Rapid Response Team,1.0,0.6475,0.1342,0.0175,0.0914,68.5,0.5347,EVM-NV419AAO,269.0,3,0.161,53.486,61.877,B,0.4329,0.4759,Won,0,High
662e11eb-54f1-4fdc-ba94-f0c414ab2af7,Assam,C0480,Mango,1,2024-04-21T00:20:43.930004+05:53,Gavin Kari,JDU,Female,31,Graduate,0,2.35,1.38,0.53,8107,0.2993,0.5088,0.4111,138059,73230,3096,76326,55.29,0.1375,0.1499,8,0.5529,0.6003,0.3997,0.0406,0.2278,0.1603,0.2113,False,0.1959,0.3537,0.367,0.1077,0.1639,0.1618,Cyber Intrusion,Biometric Auth,,0.4874,0.3607,0.0114,0.0,73.0,0.0962,EVM-EF238LDL,245.3,5,0.3117,91.791,55.602,C,0.5095,0.0462,Won,0,Low
9bf952e5-56a7-450a-9cee-095a7956a096,Punjab,C0446,Gandhidham,4,2024-05-14T10:20:28.380185+05:53,Sara Badal,AAP,Male,53,Graduate,0,13.14,2.78,1.06,3650,0.3869,0.5326,0.3862,251691,166808,24504,191312,76.01,0.0948,0.5393,9,0.7601,0.4734,0.5266,0.1281,0.3589,0.3607,0.3395,True,0.479,0.2676,0.4154,0.5739,0.121,0.1768,Cyber Intrusion,Network Firewall,0.9551,0.6306,0.1221,-0.0575,0.0,177.3,0.2863,EVM-PL564TKG,164.7,2,0.4459,29.39,52.549,A,0.3464,0.3499,Lost,1,Medium
a1da815c-9f44-48b9-b117-7235737c419b,Telangana,C0166,Ahmednagar,3,2024-05-07T15:39:04.662064+05:53,Tejas Bajwa,DMK,Male,38,10th Pass,0,2.61,0.42,0.41,35611,0.5564,0.5491,0.528,92408,43976,16039,60015,64.95,0.0266,0.0277,3,0.6495,0.3483,0.6517,0.2673,0.2189,0.1247,0.2868,False,0.1698,0.3447,0.2394,0.07,0.138,0.3006,Cyber Intrusion,Network Firewall,0.8096,0.5185,0.4247,0.0246,0.0,58.2,0.0798,EVM-VD904AJA,135.9,2,0.2741,95.705,44.572,A,0.2898,0.2314,Lost,0,Low
009ccb34-3820-4dbc-aab7-f59d75efb3ef,Kerala,C0108,Pali,7,2024-06-02T02:18:56.869248+05:53,Luke Swaminathan,INC,Male,58,Graduate,0,2.96,0.53,1.15,6464,0.759,0.6902,0.5108,152385,87200,4243,91443,60.01,0.0887,0.222,4,0.6001,0.7315,0.2685,0.0464,0.1758,0.2022,0.1562,False,0.1719,0.1817,0.1909,0.1167,0.43,0.0942,Cyber Intrusion,Rapid Response Team,1.0,0.6133,0.559,0.0037,0.2557,40.0,0.2304,EVM-AL380ZXY,215.6,3,0.0501,1.043,64.027,E,0.1701,0.1509,Won,1,Medium
da0c5f27-2556-4e32-b896-db29f0cdf67d,Kerala,C0020,South Dumdum,4,2024-05-14T17:01:39.273601+05:53,Eshana Bir,NCP,Male,35,Graduate,0,9.02,3.15,2.02,3435,0.6068,0.635,0.1799,175465,66951,23990,90941,51.83,0.1598,0.0725,12,0.5183,0.3236,0.6764,0.2638,0.2733,0.145,0.2997,False,0.1602,0.3645,0.1221,0.0867,0.1521,0.3033,Cyber Intrusion,Network Firewall,0.8671,0.5589,0.3386,0.0243,0.0,75.2,0.1405,EVM-MC742UYI,223.8,4,0.1586,25.589,57.681,C,0.6921,0.2402,Lost,0,Medium
eb31c24c-3326-475d-940d-93ef7ded7201,Karnataka,C0179,Nandyal,5,2024-05-21T09:47:42.544295+05:53,Christopher Doctor,BJP,Male,40,10th Pass,0,5.55,1.06,2.04,52896,0.6048,0.6737,0.8013,158205,113252,3975,117227,74.1,0.1451,0.1816,6,0.741,0.3377,0.6623,0.0339,0.3562,0.3905,0.3097,True,0.4589,0.2925,0.3305,0.5935,0.5059,0.1096,Cyber Intrusion,Multi-layer Encryption,0.9112,0.6299,0.5875,-0.0206,0.0446,14.5,0.3585,EVM-DG808VXQ,160.9,1,0.2757,62.286,47.162,E,0.676,0.1587,Lost,1,Medium
ac5a890b-ec3e-4e9d-985b-e0f5869e41f0,West Bengal,C0528,Panvel,6,2024-05-26T00:21:08.485027+05:53,Aadi Sridhar,TMC,Male,52,Graduate,0,0.94,0.04,0.3,35429,0.7795,0.7472,0.5013,152824,74897,3551,78448,51.33,0.1697,0.2266,5,0.5133,0.7623,0.2377,0.0453,0.2489,0.2433,0.2206,False,0.1834,0.2539,0.3726,0.1365,0.4974,0.1658,Cyber Intrusion,Real-time Audit,1.0,0.619,0.507,-0.1007,0.073,36.8,0.2567,EVM-QN551DOM,179.6,1,0.2414,74.537,32.98,C,0.0,0.1631,Lost,0,Medium
60ecef6d-fc72-4840-8aab-30cfb51895ab,Gujarat,C0047,Etawah,3,2024-05-07T04:41:17.366018+05:53,Girik Jaggi,JDU,Male,54,Post-Graduate,6,36.7,8.3,4.22,45781,0.4054,0.4243,0.3928,182087,85346,5447,90793,49.86,0.2121,0.1569,3,0.4986,0.5523,0.4477,0.06,0.2043,0.1562,0.1818,False,0.1178,0.297,0.2741,0.1432,0.1495,0.135,Cyber Intrusion,Network Firewall,0.8343,0.5369,0.0861,-0.0163,0.0,66.3,0.14,EVM-SE479DYR,308.5,1,0.1106,84.629,61.278,D,0.0164,0.1716,Won,0,Medium
ef411364-3692-4a73-86b2-c35ae05875b1,Gujarat,C0374,Aurangabad,5,2024-05-20T08:37:38.432871+05:53,Umang Kumer,TMC,Male,44,12th Pass,5,2.33,0.54,0.25,27776,0.6382,0.5869,0.3013,74305,33341,7143,40484,54.48,0.1469,0.1148,1,0.5448,0.3383,0.6617,0.1765,0.3653,0.3699,0.3402,True,0.4936,0.2074,0.2193,0.5401,0.4808,0.2115,Cyber Intrusion,Multi-layer Encryption,0.9576,0.6587,0.3267,-0.0705,0.0705,115.3,0.3715,EVM-AD901NLW,191.5,1,0.0754,,45.748,B,0.3814,0.3077,Won,0,Medium
8e11eef2-90ab-4a23-9639-57981571f8c0,Maharashtra,C0295,Guntakal,5,2024-05-21T14:10:52.489090+05:53,Rohan Sankar,YSRCP,Male,71,Graduate,7,0.64,0.19,0.06,9889,0.208,0.3591,0.2586,207644,118010,11846,129856,62.54,0.0696,0.0691,5,0.6254,0.5118,0.4882,0.0912,0.3883,0.3713,0.3352,True,0.5253,0.2556,0.3254,0.5686,0.5052,0.1045,Cyber Intrusion,Network Firewall,0.9156,0.6396,,0.0544,0.0513,66.3,0.3447,EVM-YO958RPA,515.1,0,0.265,65.461,56.136,B,0.0,0.2239,Lost,1,Medium
2a120f06-ac2e-4f37-9e63-c6b841f11460,West Bengal,C0415,North Dumdum,2,2024-04-27T01:32:02.386144+05:53,Pavani Yogi,BJP,Male,43,Post-Graduate,3,3.06,1.88,0.26,3466,0.3801,0.5422,0.3973,206709,105695,1675,107370,51.94,0.2111,0.2458,4,0.5194,0.4545,0.5455,0.0156,0.2912,0.2055,0.2061,False,0.2233,0.2954,0.502,0.1626,0.1942,0.1763,Cyber Intrusion,AI Monitoring,0.8557,0.5883,0.1186,-0.0046,0.0,80.8,0.1588,EVM-JF539QSL,177.5,0,0.0661,83.908,45.855,B,0.2601,0.2386,Lost,1,Medium
4bcfda2b-d738-4e77-80b5-1acfcebf4489,Madhya Pradesh,C0385,Guwahati,1,2024-04-20T09:55:06.193948+05:53,Chandran Dhillon,NCP,Male,63,12th Pass,3,0.51,0.23,0.17,89538,,0.4864,0.2985,126091,61294,2085,63379,50.26,0.1867,0.5026,2,0.5026,0.3338,0.6662,0.0329,0.485,0.4329,0.3886,True,0.5492,0.42,0.4664,0.6659,0.1744,0.1816,Cyber Intrusion,Multi-layer Encryption,0.9012,0.6626,0.3051,-0.034,0.0,54.3,0.2187,EVM-EM291XLL,244.5,2,0.1098,37.182,57.73,E,0.2725,0.4104,Lost,1,Medium
